feasible_reaction_smarts,not_trained_on_but_known,known_from_valid_set,known_from_test_set,num_products_works_with,example_works_with_reaction_id
[#7;a:3]:[c:2]-[CH2;D2;+0:1]-[N;H0;D3;+0:5](-[C:4])-[C:6]>>O-[CH2;D2;+0:1]-[c:2]:[#7;a:3].[C:4]-[NH;D2;+0:5]-[C:6],True,True,False,1,US20150284370A1
[#7;a:5]:[#7;a:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:6]-[c:7]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#7;a:4]:[#7;a:5].[NH2;D1;+0:6]-[c:7],True,False,True,2,US08084474B2
[C:1]-[C@H;D3;+0:2](-[C:3])-[C@@H;D3;+0:4](-[c:5])-[c:6]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[C;H0;D3;+0:4](-[c:5])-[c:6],False,False,False,1,US20090239880A1
[C:3]=[C:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:4]-[c:5]>>Cl-[CH2;D2;+0:1]-[C:2]=[C:3].[OH;D1;+0:4]-[c:5],False,False,False,1,US05631208
[#8:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[N;H0;D3;+0:5](-[C:4])-[C:6]=[O;D1;H0:7]>>Cl-[C;H0;D3;+0:1](-[#8:2])=[O;D1;H0:3].[C:4]-[NH;D2;+0:5]-[C:6]=[O;D1;H0:7],True,True,False,1,US06531471B2
[C:4]-[O;H0;D2;+0:5]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[OH;D1;+0:5],True,True,True,5,US06143769
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>C-C-C-C-[Sn](-C-C-C-C)(-C-C-C-C)-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].I-[c;H0;D3;+0:4](:[c:5]):[c:6],True,False,True,1,US20110237578A1
[#8:2]-[CH;D3;+0:1](-[C:3])-[O;H0;D2;+0:4]-[c:5]>>Cl-[CH;D3;+0:1](-[#8:2])-[C:3].[OH;D1;+0:4]-[c:5],False,False,False,1,US04153448
[#7:1]-[C:2](=[O;D1;H0:3])-[CH2;D2;+0:4]-[CH2;D2;+0:5]-[c:6]:[c:7]:[#7;a:8]>>[#7:1]-[C:2](=[O;D1;H0:3])/[CH;D2;+0:4]=[CH;D2;+0:5]/[c:6]:[c:7]:[#7;a:8],True,True,False,1,US20110044938A1
[C:2]-[CH;D3;+0:1](-[C:3])-[NH;D2;+0:4]-[c:5]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[NH2;D1;+0:4]-[c:5],True,True,True,8,US20120309771A1
[#7:2]-[CH2;D2;+0:1]-[C:3]>>O=[C;H0;D3;+0:1](-[#7:2])-[C:3],True,True,True,17,US20030069392A1
[C:2]#[C;H0;D2;+0:1]-[C;H0;D4;+0:4](-[C:3])(-[C:5])-[OH;D1;+0:6]>>[C:1]#[C;H0;D2;+0:2]-[Mg+].[C:3]-[C;H0;D3;+0:4](-[C:5])=[O;H0;D1;+0:6],False,False,False,1,US20100292279A1
[C:3]=[C:4]-[C:5]-[O;H0;D2;+0:6]-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].[C:3]=[C:4]-[C:5]-[OH;D1;+0:6],True,True,False,1,US04171356
[C:1]-[C@H;D3;+0:2](-[OH;D1;+0:3])-[C:4]=[C:5]>>[C:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C:4]=[C:5],False,False,False,1,US20040019023A1
[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[N;H0;D3;+0:5](-[C:4])-[C:6]>>C-C-O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[NH;D2;+0:5]-[C:6],False,False,False,4,US20060084807A1
[F;D1;H0:4]-[C:3](-[F;D1;H0:5])(-[F;D1;H0:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:8]-[C:7]>>F-C(-F)(-F)-C(=O)-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3](-[F;D1;H0:4])(-[F;D1;H0:5])-[F;D1;H0:6].[C:7]-[NH2;D1;+0:8],False,False,False,5,US20110071194A1
[#16;a:4]:[c:3](:[c:5]:[#7;a:6])-[C;H0;D2;+0:1]#[N;H0;D1;+0:2]>>O=[C;H0;D3;+0:1](-[NH2;D1;+0:2])-[c:3](:[#16;a:4]):[c:5]:[#7;a:6],False,False,False,1,US20090221604A1
[C:3]-[N;H0;D3;+0:4](-[c:5])-[CH2;D2;+0:1]-[C:2]>>O=[CH;D2;+0:1]-[C:2].[C:3]-[NH;D2;+0:4]-[c:5],False,False,False,1,US20030186970A1
[#7;a:1]:[c:2]:[c:3]-[CH2;D2;+0:4]-[CH2;D2;+0:5]-[c:6]>>[#7;a:1]:[c:2]:[c:3]-[C;H0;D2;+0:4]#[C;H0;D2;+0:5]-[c:6],True,True,False,1,US20120263753A1
[#16;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[S;H0;D2;+0:4]-[c:5]>>Cl-[c;H0;D3;+0:1](:[#16;a:2]):[#7;a:3].[SH;D1;+0:4]-[c:5],True,False,True,1,US05635197
[C:2]-[CH2;D2;+0:1]-[c:3]>>O-[CH;D3;+0:1](-[C:2])-[c:3],True,True,True,4,US08927715B2
[#16;a:5]:[c:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[c;H0;D3;+0:6](:[c:7]):[c:8]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]:[c:4]:[#16;a:5].C-C1(-C)-O-B(-[c;H0;D3;+0:6](:[c:7]):[c:8])-O-C-1(-C)-C,True,True,False,1,US07629340B2
[#7;a:4]:[c:3]:[c:2]-[NH2;D1;+0:1]>>C-C(-C)(-C)-O-C(=O)-[NH;D2;+0:1]-[c:2]:[c:3]:[#7;a:4],True,True,False,1,US20110207716A1
[#7;a:3]-[NH0;D2;+0:4]=[CH;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[#7;a:3]-[NH2;D1;+0:4],False,False,False,1,US08217043B2
[#7;a:3]:[c:4]:[c:5]:[n;H0;D3;+0:6](:[c:7])-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].[#7;a:3]:[c:4]:[c:5]:[nH;D2;+0:6]:[c:7],True,True,True,3,US20050277662A1
[c:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].C-C1(-C)-O-B(-[c;H0;D3;+0:4](:[c:5]):[c:6])-O-C-1(-C)-C,True,True,True,24,US20120015991A1
[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>C-C(=O)-O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[NH2;D1;+0:5],True,True,True,10,US20090274733A1
[#7;a:4]-[NH;D2;+0:5]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[#7;a:4]-[NH2;D1;+0:5],True,False,True,1,US06180629B2
[C:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[CH2;D2;+0:4]-[C:5]>>[C:1]/[C;H0;D3;+0:2](-[C;D1;H3:3])=[CH;D2;+0:4]\[C:5],False,False,False,1,US06255276B1
[C:4]=[CH;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]=[CH2;D1;+0:5],True,False,True,3,US07998975B2
[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[n;H0;D3;+0:5](:[c:4]):[c:6]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[c:4]:[nH;D2;+0:5]:[c:6],False,False,False,1,US20080132540A1
[#7;a:5]:[c:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[N;H0;D3;+0:7](-[C:6])-[C:8]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]:[#7;a:5].[C:6]-[NH;D2;+0:7]-[C:8],True,True,True,19,US20150005232A1
[#7:5]-[C:6](=[O;D1;H0:7])-[C:8]-[N;H0;D3;+0:9](-[C:10])-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4]>>Br-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4].[#7:5]-[C:6](=[O;D1;H0:7])-[C:8]-[NH;D2;+0:9]-[C:10],True,True,False,1,US20060135771A1
[#8:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[CH2;D2;+0:4]-[C:5])-[O;H0;D2;+0:7]-[C:6]>>[#8:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[CH;D2;+0:4]-[C:5].[C:6]-[OH;D1;+0:7],False,False,False,1,US04838924
[#7:3]-[C:4](=[O;D1;H0:5])-[c:6]:[n;H0;D3;+0:7](:[c:8])-[CH2;D2;+0:1]-[C:2]>>Br-[CH2;D2;+0:1]-[C:2].[#7:3]-[C:4](=[O;D1;H0:5])-[c:6]:[nH;D2;+0:7]:[c:8],True,False,True,1,US20070244125A1
[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5],True,True,False,2,US08202885B2
[C:2]=[C:3]-[C:4]-[N;H0;D3;+0:5](-[C:6])-[CH3;D1;+0:1]>>O=[CH2;D1;+0:1].[C:2]=[C:3]-[C:4]-[NH;D2;+0:5]-[C:6],True,True,False,1,US20110110889A1
[#7;a:3]:[c:2](:[#7;a:4])-[CH2;D2;+0:1]-[N;H0;D3;+0:6](-[C:5])-[C:7]>>Cl-[CH2;D2;+0:1]-[c:2](:[#7;a:3]):[#7;a:4].[C:5]-[NH;D2;+0:6]-[C:7],True,True,True,2,US20100284970A1
[C:4]=[C:5]-[C:6]-[NH;D2;+0:7]-[CH2;D2;+0:1]-[C:2]=[C;D1;H2:3]>>Br-[CH2;D2;+0:1]-[C:2]=[C;D1;H2:3].[C:4]=[C:5]-[C:6]-[NH2;D1;+0:7],False,False,False,1,US05780501
[#7:4]-[N;H0;D2;+0:5]=[C;H0;D3;+0:1](-[C;D1;H3:2])-[c:3]>>O=[C;H0;D3;+0:1](-[C;D1;H3:2])-[c:3].[#7:4]-[NH2;D1;+0:5],False,False,False,1,US20060105458A1
[C:1]-[CH;D3;+0:2](-[OH;D1;+0:3])-[C:4]=[C:5]>>[C:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C:4]=[C:5],False,False,False,1,US05256824
[C:4]-[CH;D3;+0:5](-[C:6])-[O;H0;D2;+0:7]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>F-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[CH;D3;+0:5](-[C:6])-[OH;D1;+0:7],False,False,False,1,US20100120784A1
[#7;a:4]:[c:5]:[n;H0;D3;+0:6](:[c:7])-[CH2;D2;+0:1]-[C:2]#[N;D1;H0:3]>>Br-[CH2;D2;+0:1]-[C:2]#[N;D1;H0:3].[#7;a:4]:[c:5]:[nH;D2;+0:6]:[c:7],True,True,False,1,US05624926
[#7;a:4]:[c:3](:[#7;a:5]:[#8;a:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:8]-[C;D1;H3:7]>>C-C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[#7;a:5]:[#8;a:6].[C;D1;H3:7]-[NH2;D1;+0:8],True,False,True,1,US06897306B2
[C:2]#[C;H0;D2;+0:1]-[c;H0;D3;+0:3](:[c:4]):[c:5]>>C-[Si](-C)(-C)-[C;H0;D2;+0:1]#[C:2].I-[c;H0;D3;+0:3](:[c:4]):[c:5],True,False,True,3,US20080194647A1
[C:3]-[N;H0;D3;+0:4](-[C;D1;H3:5])-[CH2;D2;+0:1]-[c:2]>>Cl-[CH2;D2;+0:1]-[c:2].[C:3]-[NH;D2;+0:4]-[C;D1;H3:5],True,False,True,2,US20030105328A1
[C:2]-[OH;D1;+0:1]>>C-C(=O)-[O;H0;D2;+0:1]-[C:2],True,True,True,20,US08362048B2
[#7:5]-[C:4](=[O;D1;H0:6])-[C:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:8]-[C:7]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]-[C:4](-[#7:5])=[O;D1;H0:6].[C:7]-[NH2;D1;+0:8],True,True,False,1,US07425551B2
[#7;a:4]:[#7;a:3]:[c:2]-[NH2;D1;+0:1]>>O=[N+;H0;D3:1](-[O-])-[c:2]:[#7;a:3]:[#7;a:4],True,True,True,3,US20150065482A1
[#7;a:1]:[c:2]:[c:3]-[NH;D2;+0:4]-[C;H0;D3;+0:6](=[S;D1;H0:5])-[NH;D2;+0:7]-[c:8]>>[#7;a:1]:[c:2]:[c:3]-[NH2;D1;+0:4].[S;D1;H0:5]=[C;H0;D2;+0:6]=[N;H0;D2;+0:7]-[c:8],True,False,True,1,US20120129811A1
[#7;a:5]:[#8;a:4]:[c:2](:[#7;a:3])-[CH2;D2;+0:1]-[N;H0;D3;+0:7](-[C:6])-[C:8]>>Cl-[CH2;D2;+0:1]-[c:2](:[#7;a:3]):[#8;a:4]:[#7;a:5].[C:6]-[NH;D2;+0:7]-[C:8],False,False,False,1,US05665718
[#7:5]-[C:6](=[O;D1;H0:7])-[C:8]-[N;H0;D3;+0:9](-[C:10])-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[#7:5]-[C:6](=[O;D1;H0:7])-[C:8]-[NH;D2;+0:9]-[C:10],False,False,False,1,US20150038708A1
[C:4]-[O;H0;D2;+0:5]-[CH2;D2;+0:1]-[C:2]=[C;D1;H2:3]>>Br-[CH2;D2;+0:1]-[C:2]=[C;D1;H2:3].[C:4]-[OH;D1;+0:5],True,True,False,2,US20140135270A1
[#8:4]-[C:3](=[O;D1;H0:5])-[C@H;D3;+0:1](-[C;D1;H3:2])-[O;H0;D2;+0:6]-[c:7]>>Br-[C@@@H;D3;+0:1](-[C;D1;H3:2])-[C:3](-[#8:4])=[O;D1;H0:5].[OH;D1;+0:6]-[c:7],False,False,False,1,US20140073650A1
[C:3]-[N+;H0;D4:4](-[C:5])(-[C:6])-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].[C:3]-[N;H0;D3;+0:4](-[C:5])-[C:6],False,False,False,1,US20140171414A1
[c:4]-[NH;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>F-C(-F)(-F)-S(=O)(=O)-O-[c;H0;D3;+0:1](:[c:2]):[c:3].[c:4]-[NH2;D1;+0:5],False,False,False,2,US20130178625A1
[#7;a:7]:[c:6]:[c;H0;D3;+0:4](:[c:5])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].Br-[c;H0;D3;+0:4](:[c:5]):[c:6]:[#7;a:7],True,False,True,3,US20090281311A1
[#7;a:1]:[c:2]:[c:3]-[CH2;D2;+0:4]-[CH3;D1;+0:5]>>[#7;a:1]:[c:2]:[c:3]-[CH;D2;+0:4]=[CH2;D1;+0:5],True,False,True,1,US08071592B2
[#7:1]-[C:2]-[C;H0;D3;+0:3](=[O;H0;D1;+0:4])-[C:5]-[#7:6]>>[#7:1]-[C:2]-[C@@H;D3;+0:3](-[OH;D1;+0:4])-[C:5]-[#7:6],True,True,False,1,US05712268
[#7;a:4]:[c;H0;D3;+0:3](:[c:5])-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].Br-[c;H0;D3;+0:3](:[#7;a:4]):[c:5],True,True,False,1,US20110183959A1
[C:4]-[N;H0;D3;+0:5](-[C:6]-[C:7](=[O;D1;H0:8])-[O;D1;H1:9])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[C:4]-[NH;D2;+0:5]-[C:6]-[C:7](=[O;D1;H0:8])-[O;D1;H1:9],True,False,True,1,US20140356322A1
[#8:3]-[C:2](=[O;D1;H0:4])-[CH2;D2;+0:1]-[N;H0;D3;+0:6](-[C:5])-[C:7]>>Br-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4].[C:5]-[NH;D2;+0:6]-[C:7],True,True,True,4,US20060142337A1
[C:4]-[NH;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>F-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[NH2;D1;+0:5],True,True,True,15,US20130150372A1
[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:5]-[N;D1;H2:4]>>C-C-O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[N;D1;H2:4]-[NH2;D1;+0:5],True,False,True,1,US20150231132A1
[C:4]-[N;H0;D3;+0:5](-[C;D1;H3:6])-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[NH;D2;+0:5]-[C;D1;H3:6],True,True,True,19,US20060211698A1
[C:4]#[C;H0;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]#[CH;D1;+0:5],True,True,True,31,US20130196979A1
[#8:4]-[C:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:6]-[C:5]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]-[#8:4].[C:5]-[NH2;D1;+0:6],True,True,False,1,US20090118257A1
[#7;a:2]:[c;H0;D3;+0:1](-[NH;D2;+0:7]-[c:8]):[c:3]-[C:4](-[#8:5])=[O;D1;H0:6]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]-[C:4](-[#8:5])=[O;D1;H0:6].[NH2;D1;+0:7]-[c:8],False,False,False,1,US20120245359A1
[#16;a:4]:[c:3](:[c:5]:[#7;a:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:7]-[c:8]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#16;a:4]):[c:5]:[#7;a:6].[NH2;D1;+0:7]-[c:8],True,True,False,2,US07868205B2
[#8:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH;D2;+0:8]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#8:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH3+;D1:8],False,False,False,13,US20100003305A1
[#16;a:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[#16;a:2]):[c:3].O-B(-O)-[c;H0;D3;+0:4](:[c:5]):[c:6],True,True,True,5,US20100010035A1
[C:3]-[N@H;D2;+0:4]-[CH;D2;+0:1]=[O;D1;H0:2]>>O-[CH;D2;+0:1]=[O;D1;H0:2].[C:3]-[NH2;D1;+0:4],False,False,False,2,US20080255153A1
[#7;a:5]:[c:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[NH;D2;+0:7]-[C;D1;H3:6]>>F-[c;H0;D3;+0:1](:[c:2]):[c:3]:[c:4]:[#7;a:5].[C;D1;H3:6]-[NH2;D1;+0:7],True,True,False,1,US06136823
[C:2]-[C@@H;D3;+0:1](-[C;D1;H3:3])-[O;H0;D2;+0:4]-[c:5]>>Br-[CH;D3;+0:1](-[C:2])-[C;D1;H3:3].[OH;D1;+0:4]-[c:5],False,False,False,5,US20090258917A1
[C:4]-[N;H0;D3;+0:5](-[C:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[C:4]-[NH;D2;+0:5]-[C:6],True,True,True,70,US08058269B2
[#7;a:5]:[c:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:6]-[c:7]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]:[#7;a:5].[NH2;D1;+0:6]-[c:7],True,True,True,7,US20100256356A1
[C:2]-[C@@H;D3;+0:1](-[C;D1;H3:3])-[O;H0;D2;+0:4]-[c:5]>>O-[C@@H;D3;+0:1](-[C:2])-[C;D1;H3:3].[OH;D1;+0:4]-[c:5],False,False,False,1,US20140187554A1
[#8;a:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:6]-[C;D1;H3:5]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#8;a:4].[C;D1;H3:5]-[NH2;D1;+0:6],True,True,False,1,US06846819B1
[C:4]-[N;H0;D3;+0:5](-[C:6])-[CH2;D2;+0:1]-[C:2]=[C:3]>>Br-[CH2;D2;+0:1]-[C:2]=[C:3].[C:4]-[NH;D2;+0:5]-[C:6],False,False,False,4,US07598386B2
[#7;a:3]:[c:2]-[CH2;D2;+0:1]-[N;H0;D3;+0:5](-[C:4])-[C:6]>>Cl-[CH2;D2;+0:1]-[c:2]:[#7;a:3].[C:4]-[NH;D2;+0:5]-[C:6],True,False,True,1,US05719157
[#7;a:4]:[c:3](:[#7;a:5]:[#8;a:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:8]-[C:7]>>C-C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[#7;a:5]:[#8;a:6].[C:7]-[NH2;D1;+0:8],False,False,False,1,US06897306B2
[#7;a:3]:[c:2]:[c;H0;D3;+0:1](:[c:4]:[c:5]:[#7;a:6])-[c;H0;D3;+0:7](:[c:8]):[c:9]>>Br-[c;H0;D3;+0:1](:[c:2]:[#7;a:3]):[c:4]:[c:5]:[#7;a:6].C-C1(-C)-O-B(-[c;H0;D3;+0:7](:[c:8]):[c:9])-O-C-1(-C)-C,True,True,False,1,US20120101064A1
[C:2]-[C@H;D3;+0:1](-[C;D1;H3:3])-[O;H0;D2;+0:4]-[c:5]>>I-[C@@H;D3;+0:1](-[C:2])-[C;D1;H3:3].[OH;D1;+0:4]-[c:5],False,False,False,5,US20090111800A1
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[NH;D2;+0:4]-[c:5]>>F-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[NH2;D1;+0:4]-[c:5],True,False,True,1,US20140296261A1
[#7;a:4]:[c:3]:[c:2]-[CH2;D2;+0:1]-[c:5]:[#7;a:6]>>O-[CH;D3;+0:1](-[c:2]:[c:3]:[#7;a:4])-[c:5]:[#7;a:6],False,False,False,1,US20130317065A1
[C:2]-[C@@H;D3;+0:1](-[C:3])-[O;H0;D2;+0:4]-[c:5]>>O-[C@@H;D3;+0:1](-[C:2])-[C:3].[OH;D1;+0:4]-[c:5],False,False,False,4,US20140187554A1
[C:3]-[NH;D2;+0:4]-[CH2;D2;+0:1]-[C:2]>>O=[CH;D2;+0:1]-[C:2].[C:3]-[NH2;D1;+0:4],True,True,True,15,US20080004300A1
[c:2]:[cH;D2;+0:1]:[c:3]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3],True,False,True,1,US20060058314A1
[#7;a:1]:[c:2]:[c:3]-[CH;D3;+0:4](-[C:5])-[OH;D1;+0:6]>>[#7;a:1]:[c:2]:[c:3]-[C;H0;D3;+0:4](-[C:5])=[O;H0;D1;+0:6],True,False,True,2,US20040044057A1
[#7;a:2]:[c;H0;D3;+0:1](-[O;H0;D2;+0:7]-[C;D1;H3:6]):[c:3]:[c:4]:[#7;a:5]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[c:4]:[#7;a:5].[C;D1;H3:6]-[O-;H0;D1:7],False,False,False,1,US04092150
[C:3]-[NH;D2;+0:4]-[CH2;D2;+0:1]-[C:2]>>C-S(=O)(=O)-O-[CH2;D2;+0:1]-[C:2].[C:3]-[NH2;D1;+0:4],False,False,False,1,US20100048636A1
[#7;a:4]:[c:3]:[c:2]-[CH2;D2;+0:1]-[NH;D2;+0:6]-[C:5]>>O=[CH;D2;+0:1]-[c:2]:[c:3]:[#7;a:4].[C:5]-[NH2;D1;+0:6],True,True,False,2,US20090198063A1
[C:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[CH2;D2;+0:4]-[C:5]>>[C:1]/[C;H0;D3;+0:2](-[C;D1;H3:3])=[CH;D2;+0:4]/[C:5],False,False,False,1,US06255276B1
[#16;a:4]:[c:3]:[c:2]-[CH2;D2;+0:1]-[NH;D2;+0:6]-[C:5]>>O=[CH;D2;+0:1]-[c:2]:[c:3]:[#16;a:4].[C:5]-[NH2;D1;+0:6],True,True,True,2,US20060247439A1
[#8;a:2]:[cH;D2;+0:1]:[c:3]>>Br-[c;H0;D3;+0:1](:[#8;a:2]):[c:3],True,True,False,1,US09023846B2
[C:2]-[C;H0;D3;+0:1](-[C:3])=[N;H0;D2;+0:4]-[O;D1;H1:5]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[NH2;D1;+0:4]-[O;D1;H1:5],True,True,False,4,US06642231B2
[C:4]-[N;H0;D3;+0:5](-[C;D1;H3:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>F-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[NH;D2;+0:5]-[C;D1;H3:6],True,True,True,4,US08299085B2
[C:2]-[NH;D2;+0:1]-[C;D1;H3:3]>>C-C(-C)(-C)-O-C(=O)-[N;H0;D3;+0:1](-[C:2])-[C;D1;H3:3],True,True,True,7,US20050113397A1
[O;D1;H0:4]=[C:5](-[O;D1;H1:6])-[C:7]-[NH;D2;+0:8]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[O;D1;H0:4]=[C:5](-[O;D1;H1:6])-[C:7]-[NH2;D1;+0:8],False,False,False,1,US20140058098A1
[C:1]-[C@H;D3;+0:2](-[c:3])-[CH2;D2;+0:4]-[C:5]>>[C:1]-[C;H0;D3;+0:2](-[c:3])=[CH;D2;+0:4]-[C:5],False,False,False,1,US20140107073A1
[C:5]-[N;H0;D3;+0:6](-[C:7])-[S;H0;D4;+0:1](-[C:2])(=[O;D1;H0:3])=[O;D1;H0:4]>>Cl-[S;H0;D4;+0:1](-[C:2])(=[O;D1;H0:3])=[O;D1;H0:4].[C:5]-[NH;D2;+0:6]-[C:7],True,True,True,17,US20080004263A1
[#7;a:3]:[c:4](:[#7;a:5])-[S;H0;D2;+0:6]-[CH2;D2;+0:1]-[C:2]>>Br-[CH2;D2;+0:1]-[C:2].[#7;a:3]:[c:4](:[#7;a:5])-[SH;D1;+0:6],True,False,True,2,US20050267148A1
[#7;a:1]:[c:2](:[c:3]:[#7;a:4])-[C;H0;D3;+0:5](=[O;H0;D1;+0:6])-[c:7]>>[#7;a:1]:[c:2](:[c:3]:[#7;a:4])-[CH;D3;+0:5](-[OH;D1;+0:6])-[c:7],False,False,False,2,US20150105366A1
